SPEED,ACCELERATION,ALTITUDE,CLASS
8.9676,0.1,0.2,HHD
9.5076,0.2,0.2,HHD
10.0116,0.1,0.4,HHD
10.4148,0.1,0.4,HHD
10.7388,0.1,0,HHD
11.1024,0.1,1,HHD
11.3724,0.1,0.5,HHD
11.7036,0.1,0.8,HHD
11.9124,0.1,0.3,HHD
12.0564,0,0,HHD
12.132,0,-0.6,HHD
11.9736,0,-0.4,HHD
11.9196,0,-0.6,HHD
11.8728,0,-0.1,HHD
11.7828,0,0.1,HHD
11.6928,0,-0.1,HHD
11.628,0,0.8,HHD
11.4084,-0.1,0.4,HHD
11.3112,0,0,HHD
11.3436,0,0.1,HHD
11.4732,0,0,HHD
11.6604,0.1,0.6,HHD
11.7792,0,0.1,HHD
11.9124,0,0,HHD
12.06,0,0,HHD
12.1536,0,-0.1,HHD
12.2328,0,0,HHD
12.3372,0,-0.6,HHD
12.3588,0,-1.3,HHD
12.258,0,-1.4,HHD
12.1068,0,-1.6,HHD
11.988,0,-0.7,HHD
11.9484,0,-0.8,HHD
11.754,-0.1,-0.6,HHD
11.5992,0,-0.3,HHD
11.2176,-0.1,-0.7,HHD
11.0088,-0.1,-0.2,HHD
10.8216,-0.1,0.1,HHD
10.5156,-0.1,-0.5,HHD
10.2672,-0.1,-0.1,HHD
9.9324,-0.1,-0.5,HHD
9.6876,-0.1,0.5,HHD
9.4788,-0.1,-0.3,HHD
9.2808,-0.1,0,HHD
8.9172,-0.1,0.1,HHD
8.856,0,-0.1,HHD
8.748,0,-0.2,HHD
8.8416,0,-0.1,HHD
8.8956,0,-0.2,HHD
8.9316,0,-0.1,HHD
9.1908,0.1,0.4,HHD
9.4284,0.1,-0.3,HHD
9.576,0,-0.4,HHD
9.8424,0.1,-0.3,HHD
10.188,0.1,0,HHD
10.4868,0.1,-0.2,HHD
10.782,0.1,-1,HHD
10.8936,0,-0.2,HHD
11.1204,0.1,0.1,HHD
11.2392,0,0.4,HHD
11.0952,0,0.4,HHD
10.9908,0,1.2,HHD
10.8036,-0.1,-0.2,HHD
10.512,-0.1,0,HHD
10.314,-0.1,-0.4,HHD
10.3392,0,-0.4,HHD
10.0944,-0.1,-0.6,HHD
10.08,0,-0.4,HHD
9.9504,0,-0.7,HHD
9.828,0,-0.2,HHD
9.972,0,-0.6,HHD
10.1664,0.1,-0.5,HHD
10.4004,0.1,-0.7,HHD
10.638,0.1,-0.5,HHD
10.9656,0.1,-0.4,HHD
11.0376,0,0,HHD
11.412,0.1,0,HHD
11.4156,0,0.3,HHD
11.6172,0.1,0.1,HHD
11.9412,0.1,-0.4,HHD
12.1464,0.1,0.1,HHD
12.2436,0,0.4,HHD
12.4236,0.1,0.1,HHD
12.5568,0,0.1,HHD
12.6864,0,0.4,HHD
12.8196,0,0.1,HHD
12.9528,0,0.4,HHD
13.2264,0.1,-1.5,HHD
13.356,0,0.2,HHD
13.554,0.1,0.2,HHD
13.6872,0,0.8,HHD
13.8168,0,0.6,HHD
14.004,0.1,0.8,HHD
14.2236,0.1,0.6,HHD
14.274,0,0.8,HHD
14.4468,0,1.5,HHD
14.544,0,0.6,HHD
14.5404,0,0,HHD
14.7312,0.1,0.3,HHD
14.7672,0,0,HHD
14.8752,0,0.3,HHD
14.868,0,0.7,HHD
14.6988,0,1.1,HHD
14.6556,0,0.9,HHD
14.6736,0,0.3,HHD
14.7276,0,0.4,HHD
14.6916,0,0.3,HHD
14.8032,0,0,HHD
14.7852,0,-0.2,HHD
14.8932,0,-0.1,HHD
14.904,0,0,HHD
15.0696,0,-0.6,HHD
15.2568,0.1,-0.1,HHD
15.4404,0.1,-0.3,HHD
15.6384,0.1,-0.5,HHD
15.678,0,0.3,HHD
15.7392,0,0.1,HHD
15.7212,0,0.2,HHD
15.7428,0,-0.2,HHD
15.7392,0,-0.4,HHD
15.7968,0,0,HHD
15.7932,0,0.2,HHD
15.75,0,0,HHD
15.5556,-0.1,-0.1,HHD
15.3396,-0.1,0.1,HHD
15.1992,0,0.4,HHD
15.066,0,3.6,HHD
15.1452,0,-0.4,HHD
15.12,0,-0.2,HHD
15.0084,0,-0.3,HHD
15.0048,0,-0.4,HHD
14.8068,-0.1,-0.8,HHD
14.7564,0,-0.9,HHD
14.7456,0,-0.3,HHD
14.7708,0,-0.9,HHD
14.706,0,-0.8,HHD
14.6772,0,0,HHD
14.5764,0,-0.6,HHD
14.3964,-0.1,0.3,HHD
14.3748,0,-0.9,HHD
